V1,V2,rural
100,臺北市,0
101,臺北市松山區,0
102,臺北市大安區,0
109,臺北市大同區,0
110,臺北市中山區,0
111,臺北市內湖區,0
112,臺北市南港區,0
115,臺北市士林區,0
116,臺北市北投區,0
117,臺北市信義區,0
118,臺北市中正區,0
119,臺北市萬華區,0
120,臺北市文山區,0
1100,基隆市,0
1101,基隆市中正區,0
1102,基隆市七堵區,0
1103,基隆市暖暖區,0
1104,基隆市仁愛區,0
1105,基隆市中山區,0
1106,基隆市安樂區,0
1107,基隆市信義區,0
1200,新竹市,0
1201,新竹市東區,0
1204,新竹市北區,0
1205,新竹市香山區,0
3100,臺北縣,0
3101,臺北縣板橋市,0
3102,臺北縣三重市,0
3103,臺北縣永和市,0
3104,臺北縣中和市,0
3105,臺北縣新店市,0
3106,臺北縣新莊市,0
3107,臺北縣樹林鎮,0
3108,臺北縣鶯歌鎮,0
3109,臺北縣三峽鎮,0
3110,臺北縣淡水鎮,0
3111,臺北縣汐止鎮,0
3112,臺北縣瑞芳鎮,0
3113,臺北縣土城鄉,0
3114,臺北縣蘆洲鄉,0
3115,臺北縣五股鄉,0
3116,臺北縣泰山鄉,0
3117,臺北縣林口鄉,0
3118,臺北縣深坑鄉,0
3119,臺北縣石碇鄉,1
3120,臺北縣坪林鄉,1
3121,臺北縣三芝鄉,0
3122,臺北縣石門鄉,0
3123,臺北縣八里鄉,0
3124,臺北縣平溪鄉,1
3125,臺北縣雙溪鄉,1
3126,臺北縣貢寮鄉,0
3127,臺北縣金山鄉,0
3128,臺北縣萬里鄉,0
3129,臺北縣烏來鄉,1
3200,桃園縣,0
3201,桃園縣桃園市,0
3202,桃園縣中壢市,0
3203,桃園縣大溪鎮,0
3204,桃園縣楊梅鎮,0
3205,桃園縣蘆竹鄉,0
3206,桃園縣大園鄉,0
3207,桃園縣龜山鄉,0
3208,桃園縣八德鄉,0
3209,桃園縣龍潭鄉,0
3210,桃園縣平鎮鄉,0
3211,桃園縣新屋鄉,0
3212,桃園縣觀音鄉,0
