0100 臺北市 1
0101 臺北市松山區 1 105
0102 臺北市大安區 1 106
0109 臺北市大同區 1 103
0110 臺北市中山區 1 104
0111 臺北市內湖區 1 114
0112 臺北市南港區 1 115
0115 臺北市士林區 1 111
0116 臺北市北投區 1 112
0117 臺北市信義區 1 110
0118 臺北市中正區 1 100
0119 臺北市萬華區 1 108
0120 臺北市文山區 1 116
1100 基隆市 1
1101 基隆市中正區 1 202
1102 基隆市七堵區 1 206
1103 基隆市暖暖區 1 205
1104 基隆市仁愛區 1 200
1105 基隆市中山區 1 203
1106 基隆市安樂區 1 204
1107 基隆市信義區 1 201
1200 新竹市 2
1201 新竹市東區 2 300
1204 新竹市北區 2 300
1205 新竹市香山區 2 300
3100 臺北縣 1
3101 臺北縣板橋市 1 220
3102 臺北縣三重市 1 241
3103 臺北縣永和市 1 234
3104 臺北縣中和市 1 235
3105 臺北縣新店市 1 231
3106 臺北縣新莊市 1 242
3107 臺北縣樹林鎮 1 238
3108 臺北縣鶯歌鎮 1 239
3109 臺北縣三峽鎮 1 237
3110 臺北縣淡水鎮 1 251
3111 臺北縣汐止鎮 1 221
3112 臺北縣瑞芳鎮 1 224
3113 臺北縣土城鄉 1 236
3114 臺北縣蘆洲鄉 1 247
3115 臺北縣五股鄉 1 248
3116 臺北縣泰山鄉 1 243
3117 臺北縣林口鄉 1 244
3118 臺北縣深坑鄉 1 222
3119 臺北縣石碇鄉 1 223
3120 臺北縣坪林鄉 1 232
3121 臺北縣三芝鄉 1 252
3122 臺北縣石門鄉 1 253
3123 臺北縣八里鄉 1 249
3124 臺北縣平溪鄉 1 226
3125 臺北縣雙溪鄉 1 227
3126 臺北縣貢寮鄉 1 228
3127 臺北縣金山鄉 1 208
3128 臺北縣萬里鄉 1 207
3129 臺北縣烏來鄉 1 233
3200 桃園縣 2
3201 桃園縣桃園市 2 330
3202 桃園縣中壢市 2 320
3203 桃園縣大溪鎮 2 335
3204 桃園縣楊梅鎮 2 326
3205 桃園縣蘆竹鄉 2 338
3206 桃園縣大園鄉 2 337
3207 桃園縣龜山鄉 2 333
3208 桃園縣八德鄉 2 334
3209 桃園縣龍潭鄉 2 325
3210 桃園縣平鎮鄉 2 324
3211 桃園縣新屋鄉 2 327
3212 桃園縣觀音鄉 2 328
3213 桃園縣復興鄉 2 336
3300 新竹縣 2
3301 新竹縣關西鎮 2 306
3302 新竹縣新埔鎮 2 305
3303 新竹縣竹東鎮 2 310
3305 新竹縣竹北市 2 302
3306 新竹縣湖口鄉 2 303
3307 新竹縣橫山鄉 2 312
3308 新竹縣新豐鄉 2 304
3309 新竹縣芎林鄉 2 307
3310 新竹縣寶山鄉 2 308
3311 新竹縣北埔鄉 2 314
3312 新竹縣峨眉鄉 2 315
3313 新竹縣尖石鄉 2 313
3314 新竹縣五峰鄉 2 311
3400 宜蘭縣 1
3401 宜蘭縣宜蘭市 1 260
3402 宜蘭縣羅東鎮 1 265
3403 宜蘭縣蘇澳鎮 1 270
3404 宜蘭縣頭城鎮 1 261
3405 宜蘭縣礁溪鄉 1 262
3406 宜蘭縣壯圍鄉 1 263
3407 宜蘭縣員山鄉 1 264
3408 宜蘭縣冬山鄉 1 269
3409 宜蘭縣五結鄉 1 268
3410 宜蘭縣三星鄉 1 266
3411 宜蘭縣大同鄉 1 267
3412 宜蘭縣南澳鄉 1 272
3500 苗栗縣 2
3501 苗栗縣苗栗市 2 360
3502 苗栗縣苑裡鎮 2 358
3503 苗栗縣通霄鎮 2 357
3504 苗栗縣竹南鎮 2 350
3505 苗栗縣頭份鎮 2 351
3506 苗栗縣後龍鎮 2 356
3507 苗栗縣卓蘭鎮 2 369
3508 苗栗縣大湖鄉 2 364
3509 苗栗縣公館鄉 2 363
3510 苗栗縣銅鑼鄉 2 366
3511 苗栗縣南庄鄉 2 353
3512 苗栗縣頭屋鄉 2 362
3513 苗栗縣三義鄉 2 367
3514 苗栗縣西湖鄉 2 368
3515 苗栗縣造橋鄉 2 361
3516 苗栗縣三灣鄉 2 352
3517 苗栗縣獅潭鄉 2 354
3518 苗栗縣泰安鄉 2 365
1700 臺中市 3
1701 臺中市中區 3 400 0322
1702 臺中市東區 3 401 0323
1703 臺中市西區 3 403 0324
1704 臺中市南區 3 402 0325
1705 臺中市北區 3 404 0326
1706 臺中市西屯區 3 407 0327
1707 臺中市南屯區 3 408 0328
1708 臺中市北屯區 3 406 0329
3600 臺中縣 3
3601 臺中縣豐原市 3 420 0301
3602 臺中縣東勢鎮 3 423 0302
3603 臺中縣大甲鎮 3 437 0303
3604 臺中縣清水鎮 3 436 0304
3605 臺中縣沙鹿鎮 3 433 0305
3606 臺中縣梧棲鎮 3 435 0306
3607 臺中縣后里鄉 3 421 0307
3608 臺中縣神岡鄉 3 429 0308
3609 臺中縣潭子鄉 3 427 0309
3610 臺中縣大雅鄉 3 428 0310
3611 臺中縣新社鄉 3 426 0311
3612 臺中縣石岡鄉 3 422 0312
3613 臺中縣外埔鄉 3 438 0313
3614 臺中縣大安鄉 3 439 0314
3615 臺中縣烏日鄉 3 414 0315
3616 臺中縣大肚鄉 3 432 0316
3617 臺中縣龍井鄉 3 434 0317
3618 臺中縣霧峰鄉 3 413 0318
3619 臺中縣太平鄉 3 411 0319
3620 臺中縣大里鄉 3 412 0320
3621 臺中縣和平鄉 3 424 0321
3700 彰化縣 3
3701 彰化縣彰化市 3 500
3702 彰化縣鹿港鎮 3 505
3703 彰化縣和美鎮 3 508
3704 彰化縣北斗鎮 3 521
3705 彰化縣員林鎮 3 510
3706 彰化縣溪湖鎮 3 514
3707 彰化縣田中鎮 3 520
3708 彰化縣二林鎮 3 526
3709 彰化縣線西鄉 3 507
3710 彰化縣伸港鄉 3 509
3711 彰化縣福興鄉 3 506
3712 彰化縣秀水鄉 3 504
3713 彰化縣花壇鄉 3 503
3714 彰化縣芬園鄉 3 502
3715 彰化縣大村鄉 3 515
3716 彰化縣埔鹽鄉 3 516
3717 彰化縣埔心鄉 3 513
3718 彰化縣永靖鄉 3 512
3719 彰化縣社頭鄉 3 511
3720 彰化縣二水鄉 3 530
3721 彰化縣田尾鄉 3 522
3722 彰化縣埤頭鄉 3 523
3723 彰化縣芳苑鄉 3 528
3724 彰化縣大城鄉 3 527
3725 彰化縣竹塘鄉 3 525
3726 彰化縣溪州鄉 3 524
3800 南投縣 3
3801 南投縣南投市 3 540
3802 南投縣埔里鎮 3 545
3803 南投縣草屯鎮 3 542
3804 南投縣竹山鎮 3 557
3805 南投縣集集鎮 3 552
3806 南投縣名間鄉 3 551
3807 南投縣鹿谷鄉 3 558
3808 南投縣中寮鄉 3 541
3809 南投縣魚池鄉 3 555
3810 南投縣國姓鄉 3 544
3811 南投縣水里鄉 3 553
3812 南投縣信義鄉 3 556
3813 南投縣仁愛鄉 3 546
2100 臺南市 4
2101 臺南市東區 4 701 0532
2102 臺南市南區 4 702 0533
2103 臺南市西區 4
2104 臺南市北區 4 704 0535
2105 臺南市中區 4
2106 臺南市安南區 4 709 0537
2107 臺南市安平區 4 708 0538
2108 臺南市中西區 4(93年起)700 0534
2200 嘉義市 4
2201 嘉義市東區 4 600
2202 嘉義市西區 4 600
3900 雲林縣 4
3901 雲林縣斗六市 4 640
3902 雲林縣斗南鎮 4 630
3903 雲林縣虎尾鎮 4 632
3904 雲林縣西螺鎮 4 648
3905 雲林縣土庫鎮 4 633
3906 雲林縣北港鎮 4 651
3907 雲林縣古坑鄉 4 646
3908 雲林縣大埤鄉 4 631
3909 雲林縣莿桐鄉 4 647
3910 雲林縣林內鄉 4 643
3911 雲林縣二崙鄉 4 649
3912 雲林縣崙背鄉 4 637
3913 雲林縣麥寮鄉 4 638
3914 雲林縣東勢鄉 4 635
3915 雲林縣褒忠鄉 4 634
3916 雲林縣臺西鄉 4 636
3917 雲林縣元長鄉 4 655
3918 雲林縣四湖鄉 4 654
3919 雲林縣口湖鄉 4 653
3920 雲林縣水林鄉 4 652
4000 嘉義縣 4
4001 嘉義縣朴子鎮 4 613
4002 嘉義縣布袋鎮 4 625
4003 嘉義縣大林鎮 4 622
4004 嘉義縣民雄鄉 4 621
4005 嘉義縣溪口鄉 4 623
4006 嘉義縣新港鄉 4 616
4007 嘉義縣六腳鄉 4 615
4008 嘉義縣東石鄉 4 614
4009 嘉義縣義竹鄉 4 624
4010 嘉義縣鹿草鄉 4 611
4011 嘉義縣太保鄉 4 612
4012 嘉義縣水上鄉 4 608
4013 嘉義縣中埔鄉 4 606
4014 嘉義縣竹崎鄉 4 604
4015 嘉義縣梅山鄉 4 603
4016 嘉義縣番路鄉 4 602
4017 嘉義縣大埔鄉 4 607
4018 嘉義縣阿里山 4 605
4100 臺南縣 4
4101 臺南縣新營市 4 730 0501
4102 臺南縣鹽水鎮 4 737 0502
4103 臺南縣白河鎮 4 732 0503
4104 臺南縣麻豆鎮 4 721 0504
4105 臺南縣佳里鎮 4 722 0505
4106 臺南縣新化鎮 4 712 0506
4107 臺南縣善化鎮 4 741 0507
4108 臺南縣學甲鎮 4 726 0508
4109 臺南縣柳營鄉 4 736 0509
4110 臺南縣後壁鄉 4 731 0510
4111 臺南縣東山鄉 4 733 0511
4112 臺南縣下營鄉 4 735 0512
4113 臺南縣六甲鄉 4 734 0513
4114 臺南縣官田鄉 4 720 0514
4115 臺南縣大內鄉 4 742 0515
4116 臺南縣西港鄉 4 723 0516
4117 臺南縣七股鄉 4 724 0517
4118 臺南縣將軍鄉 4 725 0518
4119 臺南縣北門鄉 4 727 0519
4120 臺南縣新市鄉 4 744 0520
4121 臺南縣安定鄉 4 745 0521
4122 臺南縣山上鄉 4 743 0522
4123 臺南縣玉井鄉 4 714 0523
4124 臺南縣楠西鄉 4 715 0524
4125 臺南縣南化鄉 4 716 0525
4126 臺南縣左鎮鄉 4 713 0526
4127 臺南縣仁德鄉 4 717 0527
4128 臺南縣歸仁鄉 4 711 0528
4129 臺南縣關廟鄉 4 718 0529
4130 臺南縣龍崎鄉 4 719 0530
4131 臺南縣永康鄉 4 710 0531
0200 高雄市 5
0201 高雄市鹽埕區 5 803 0728
0202 高雄市鼓山區 5 804 0729
0203 高雄市左營區 5 813 0730
0204 高雄市楠梓區 5 811 0731
0205 高雄市三民區 5 807 0732
0206 高雄市新興區 5 800 0733
0207 高雄市前金區 5 801 0734
0208 高雄市苓雅區 5 802 0735
0209 高雄市前鎮區 5 806 0736
0210 高雄市旗津區 5 805 0737
0211 高雄市小港區 5 812 0738
4200 高雄縣 5
4201 高雄縣鳳山市 5 830 0701
4202 高雄縣岡山鎮 5 820 0702
4203 高雄縣旗山鎮 5 842 0703
4204 高雄縣美濃鎮 5 843 0704
4205 高雄縣林園鄉 5 832 0705
